GEO_ID,NAME,B25014_008E,B25014_008M,B25014_009E,B25014_009M,B25014_010E,B25014_010M,B25014_011E,B25014_011M,B25014_012E,B25014_012M,B25014_013E,,,,,,,,,,,,,,,B25014_013M
Geography,Geographic Area Name,Estimate!!Total:!!Renter occupied:,Margin of Error!!Total:!!Renter occupied:,Estimate!!Total:!!Renter occupied:!!0.50 or less occupants per room,Margin of Error!!Total:!!Renter occupied:!!0.50 or less occupants per room,Estimate!!Total:!!Renter occupied:!!0.51 to 1.00 occupants per room,Margin of Error!!Total:!!Renter occupied:!!0.51 to 1.00 occupants per room,Estimate!!Total:!!Renter occupied:!!1.01 to 1.50 occupants per room,Margin of Error!!Total:!!Renter occupied:!!1.01 to 1.50 occupants per room,Estimate!!Total:!!Renter occupied:!!1.51 to 2.00 occupants per room,Margin of Error!!Total:!!Renter occupied:!!1.51 to 2.00 occupants per room,Estimate!!Total:!!Renter occupied:!!2.01 or more occupants per room,,,,,,,,,,,,,,,Margin of Error!!Total:!!Renter occupied:!!2.01 or more occupants per room
310M700US10180,"Abilene, TX Metro Area",23836,843,15024,945,8010,716,648,207,141,102,13,,,,,,,,,,,,,,,20
310M700US10380,"Aguadilla, PR Metro Area",31473,1424,19696,1118,11241,952,268,149,200,144,68,,,,,,,,,,,,,,,62
310M700US10420,"Akron, OH Metro Area",94611,2079,70060,1987,22901,1224,890,309,738,242,22,,,,,,,,,,,,,,,29
310M700US10500,"Albany, GA Metro Area",25251,946,16903,1033,7644,769,581,170,80,55,43,,,,,,,,,,,,,,,55
310M700US10540,"Albany, OR Metro Area",16811,703,9416,589,6333,624,839,228,212,105,11,,,,,,,,,,,,,,,16
310M700US10580,"Albany-Schenectady-Troy, NY Metro Area",137310,2074,100731,1921,32909,1616,2146,360,1345,367,179,,,,,,,,,,,,,,,93
310M700US10740,"Albuquerque, NM Metro Area",116350,2189,76649,2283,34306,1439,3062,583,2202,473,131,,,,,,,,,,,,,,,81
310M700US10780,"Alexandria, LA Metro Area",18750,948,12033,729,6005,596,564,224,116,75,32,,,,,,,,,,,,,,,40
310M700US10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",102884,2151,66675,2003,32545,1502,2158,439,1082,275,424,,,,,,,,,,,,,,,208
310M700US11020,"Altoona, PA Metro Area",13979,614,11282,670,2609,339,69,58,19,19,0,,,,,,,,,,,,,,,28
310M700US11100,"Amarillo, TX Metro Area",37228,1296,24058,1106,11208,816,1430,402,442,170,90,,,,,,,,,,,,,,,81
310M700US11180,"Ames, IA Metro Area",19492,798,13180,790,6103,612,152,73,50,48,7,,,,,,,,,,,,,,,11
310M700US11200,"Amherst Town-Northampton, MA Metro Area",19998,900,13670,827,5954,619,233,134,137,84,4,,,,,,,,,,,,,,,8
310M700US11260,"Anchorage, AK Metro Area",48281,1485,29584,1342,15670,988,1737,300,987,231,303,,,,,,,,,,,,,,,99
310M700US11460,"Ann Arbor, MI Metro Area",57782,1330,38824,1351,17422,926,1086,228,322,119,128,,,,,,,,,,,,,,,96
310M700US11500,"Anniston-Oxford, AL Metro Area",13361,850,9095,743,3947,591,206,138,49,36,64,,,,,,,,,,,,,,,54
310M700US11540,"Appleton, WI Metro Area",26614,840,19493,790,6466,625,435,150,211,107,9,,,,,,,,,,,,,,,15
310M700US11640,"Arecibo, PR Metro Area",20902,1139,12834,979,7489,794,411,171,74,60,94,,,,,,,,,,,,,,,111
310M700US11700,"Asheville, NC Metro Area",49081,1825,30370,1557,16863,1272,808,275,889,364,151,,,,,,,,,,,,,,,150
310M700US12020,"Athens-Clarke County, GA Metro Area",38167,1174,24219,1204,12917,1036,783,229,248,155,0,,,,,,,,,,,,,,,34
310M700US12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",783586,7640,500408,6503,248404,5380,22377,1284,10729,1063,1668,,,,,,,,,,,,,,,334
310M700US12100,"Atlantic City-Hammonton, NJ Metro Area",43107,1487,26749,1279,13844,1128,1531,304,710,247,273,,,,,,,,,,,,,,,140
310M700US12220,"Auburn-Opelika, AL Metro Area",26155,1124,17845,879,7460,808,307,124,397,164,146,,,,,,,,,,,,,,,115
310M700US12260,"Augusta-Richmond County, GA-SC Metro Area",74119,2275,50885,2137,21211,1380,1585,380,329,145,109,,,,,,,,,,,,,,,69
310M700US12420,"Austin-Round Rock-San Marcos, TX Metro Area",412964,4402,249651,4470,139145,4149,12943,1350,9171,1324,2054,,,,,,,,,,,,,,,517
310M700US12540,"Bakersfield-Delano, CA Metro Area",113798,2337,50118,1768,46868,2011,10789,847,4755,615,1268,,,,,,,,,,,,,,,262
310M700US12580,"Baltimore-Columbia-Towson, MD Metro Area",370685,4297,252354,4030,105503,3007,7908,900,4155,591,765,,,,,,,,,,,,,,,217
310M700US12620,"Bangor, ME Metro Area",19211,946,13223,864,5412,529,230,117,283,159,63,,,,,,,,,,,,,,,69
310M700US12700,"Barnstable Town, MA Metro Area",20024,1171,14133,850,5188,716,408,202,275,136,20,,,,,,,,,,,,,,,31
310M700US12940,"Baton Rouge, LA Metro Area",102725,2495,64085,2207,34103,2132,3013,567,862,341,662,,,,,,,,,,,,,,,332
310M700US12980,"Battle Creek, MI Metro Area",14586,718,10756,729,3511,453,185,78,112,86,22,,,,,,,,,,,,,,,26
310M700US13020,"Bay City, MI Metro Area",10358,666,7733,572,2527,386,79,65,19,30,0,,,,,,,,,,,,,,,27
310M700US13140,"Beaumont-Port Arthur, TX Metro Area",47533,1599,28711,1543,15734,1026,1859,442,1105,381,124,,,,,,,,,,,,,,,121
310M700US13220,"Beckley, WV Metro Area",10716,726,7642,682,2710,474,11,17,153,105,200,,,,,,,,,,,,,,,147
310M700US13380,"Bellingham, WA Metro Area",34117,1130,20223,969,11727,899,1389,501,513,261,265,,,,,,,,,,,,,,,178
310M700US13460,"Bend, OR Metro Area",30758,1373,18255,974,10357,964,1726,436,316,146,104,,,,,,,,,,,,,,,89
310M700US13740,"Billings, MT Metro Area",22915,1139,16275,1027,6182,654,258,130,188,128,12,,,,,,,,,,,,,,,16
310M700US13780,"Binghamton, NY Metro Area",33341,1071,23655,1068,8625,744,681,219,216,117,164,,,,,,,,,,,,,,,111
310M700US13820,"Birmingham, AL Metro Area",135781,3045,96535,2677,35604,1898,2380,431,1110,403,152,,,,,,,,,,,,,,,97
310M700US13900,"Bismarck, ND Metro Area",15543,911,11101,826,4004,646,302,139,124,91,12,,,,,,,,,,,,,,,19
310M700US13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",26043,991,16665,800,8518,717,557,254,162,91,141,,,,,,,,,,,,,,,126
310M700US14010,"Bloomington, IL Metro Area",24516,1065,17452,1144,6459,591,227,104,361,323,17,,,,,,,,,,,,,,,28
310M700US14020,"Bloomington, IN Metro Area",28875,954,19490,932,8800,741,406,204,179,112,0,,,,,,,,,,,,,,,30
310M700US14260,"Boise City, ID Metro Area",83566,2155,50911,1757,28172,1306,3530,518,731,194,222,,,,,,,,,,,,,,,117
310M700US14460,"Boston-Cambridge-Newton, MA-NH Metro Area",746120,5948,446849,4916,266059,4179,18828,1274,12065,1073,2319,,,,,,,,,,,,,,,635
310M700US14500,"Boulder, CO Metro Area",52108,1344,33533,1348,17254,945,814,204,434,160,73,,,,,,,,,,,,,,,72
310M700US14540,"Bowling Green, KY Metro Area",28944,1120,18024,1021,8820,797,1514,421,545,288,41,,,,,,,,,,,,,,,49
310M700US14580,"Bozeman, MT Metro Area",19945,709,12934,770,6416,554,323,139,249,141,23,,,,,,,,,,,,,,,36
310M700US14740,"Bremerton-Silverdale-Port Orchard, WA Metro Area",32416,1250,19692,1021,11634,864,652,177,324,139,114,,,,,,,,,,,,,,,87
310M700US14860,"Bridgeport-Stamford-Danbury, CT Metro Area",120606,2007,67590,1820,45463,1740,4712,620,2243,470,598,,,,,,,,,,,,,,,265
310M700US15180,"Brownsville-Harlingen, TX Metro Area",48155,1526,19626,1146,21260,1167,4514,634,2154,430,601,,,,,,,,,,,,,,,203
310M700US15260,"Brunswick-St. Simons, GA Metro Area",14187,836,8881,755,4726,692,408,233,107,109,65,,,,,,,,,,,,,,,96
310M700US15380,"Buffalo-Cheektowaga, NY Metro Area",166514,2711,126020,2492,36701,1659,2274,403,1346,348,173,,,,,,,,,,,,,,,99
310M700US15500,"Burlington, NC Metro Area",24519,1118,16637,1081,7129,948,559,192,145,85,49,,,,,,,,,,,,,,,43
310M700US15540,"Burlington-South Burlington, VT Metro Area",30609,982,19121,823,10572,883,475,161,352,167,89,,,,,,,,,,,,,,,89
310M700US15940,"Canton-Massillon, OH Metro Area",50376,1423,37381,1451,12058,886,605,211,220,121,112,,,,,,,,,,,,,,,80
310M700US15980,"Cape Coral-Fort Myers, FL Metro Area",84149,2424,53057,2097,27307,1645,2816,485,841,284,128,,,,,,,,,,,,,,,90
310M700US16020,"Cape Girardeau, MO-IL Metro Area",11913,711,8906,722,2693,386,177,97,96,82,41,,,,,,,,,,,,,,,31
310M700US16180,"Carson City, NV Metro Area",8923,503,5002,487,3533,484,254,109,121,82,13,,,,,,,,,,,,,,,24
310M700US16220,"Casper, WY Metro Area",8919,550,6152,536,2437,390,190,139,83,77,57,,,,,,,,,,,,,,,81
310M700US16300,"Cedar Rapids, IA Metro Area",28449,1031,20505,1030,7343,640,237,92,199,126,165,,,,,,,,,,,,,,,113
310M700US16540,"Chambersburg, PA Metro Area",16819,979,12392,946,4136,550,243,166,48,49,0,,,,,,,,,,,,,,,28
310M700US16580,"Champaign-Urbana, IL Metro Area",41963,1154,30727,1206,10777,998,238,80,179,84,42,,,,,,,,,,,,,,,54
310M700US16620,"Charleston, WV Metro Area",24326,1089,18435,960,5533,562,305,149,44,37,9,,,,,,,,,,,,,,,14
310M700US16700,"Charleston-North Charleston, SC Metro Area",103933,2571,70661,2527,29258,1532,2671,526,1087,434,256,,,,,,,,,,,,,,,164
310M700US16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",366909,4543,237522,4349,112815,3223,10951,1077,4291,699,1330,,,,,,,,,,,,,,,355
310M700US16820,"Charlottesville, VA Metro Area",30485,1211,21661,1129,8377,745,336,126,84,53,27,,,,,,,,,,,,,,,49
310M700US16860,"Chattanooga, TN-GA Metro Area",73660,2171,49779,1893,21364,1284,1660,377,617,307,240,,,,,,,,,,,,,,,132
310M700US16940,"Cheyenne, WY Metro Area",12742,671,9224,662,3347,419,124,97,47,55,0,,,,,,,,,,,,,,,30
310M700US16980,"Chicago-Naperville-Elgin, IL-IN Metro Area",1255391,9137,772960,7097,421079,6371,36636,2092,19313,1381,5403,,,,,,,,,,,,,,,699
310M700US17020,"Chico, CA Metro Area",35595,1024,21422,1187,12445,861,1007,320,636,212,85,,,,,,,,,,,,,,,94
310M700US17140,"Cincinnati, OH-KY-IN Metro Area",287291,3841,197867,3414,79008,2543,6342,719,2688,511,1386,,,,,,,,,,,,,,,480
310M700US17300,"Clarksville, TN-KY Metro Area",48713,1356,30581,1348,16194,1152,1072,223,625,347,241,,,,,,,,,,,,,,,147
310M700US17410,"Cleveland, OH Metro Area",311614,3476,231095,3781,73947,2725,4539,636,1753,397,280,,,,,,,,,,,,,,,160
310M700US17420,"Cleveland, TN Metro Area",15164,857,9523,729,4841,583,592,172,174,117,34,,,,,,,,,,,,,,,41
310M700US17660,"Coeur d'Alene, ID Metro Area",20438,1053,12652,908,7131,784,388,151,224,140,43,,,,,,,,,,,,,,,44
310M700US17780,"College Station-Bryan, TX Metro Area",51714,1510,31522,1435,18316,1157,1034,269,657,199,185,,,,,,,,,,,,,,,80
310M700US17820,"Colorado Springs, CO Metro Area",100213,1892,62463,2107,34195,1742,2147,373,1174,297,234,,,,,,,,,,,,,,,120
310M700US17860,"Columbia, MO Metro Area",34666,1228,24967,1105,8869,824,506,189,297,151,27,,,,,,,,,,,,,,,36
310M700US17900,"Columbia, SC Metro Area",103956,2084,69356,1936,31356,1681,2054,355,886,316,304,,,,,,,,,,,,,,,177
310M700US17980,"Columbus, GA-AL Metro Area",53747,1484,37333,1345,14562,961,1415,373,291,150,146,,,,,,,,,,,,,,,97
310M700US18020,"Columbus, IN Metro Area",10236,586,6527,590,3338,447,228,98,143,98,0,,,,,,,,,,,,,,,30
310M700US18140,"Columbus, OH Metro Area",334230,3864,222547,3103,99460,2463,8233,832,2930,417,1060,,,,,,,,,,,,,,,287
310M700US18580,"Corpus Christi, TX Metro Area",64181,1585,35505,1378,24719,1416,2251,402,882,315,824,,,,,,,,,,,,,,,330
310M700US18700,"Corvallis, OR Metro Area",16592,621,10295,640,5867,497,173,90,253,143,4,,,,,,,,,,,,,,,7
310M700US18880,"Crestview-Fort Walton Beach-Destin, FL Metro Area",34352,1325,20554,1206,12135,940,1011,285,475,222,177,,,,,,,,,,,,,,,130
310M700US19100,"Dallas-Fort Worth-Arlington, TX Metro Area",1153805,6952,656927,6520,415924,6114,49444,2179,23590,1346,7920,,,,,,,,,,,,,,,981
310M700US19140,"Dalton, GA Metro Area",16144,848,9345,820,5854,741,655,200,180,102,110,,,,,,,,,,,,,,,95
310M700US19300,"Daphne-Fairhope-Foley, AL Metro Area",22077,1398,16325,1331,5372,775,377,208,0,31,3,,,,,,,,,,,,,,,5
310M700US19340,"Davenport-Moline-Rock Island, IA-IL Metro Area",45818,1289,31837,1124,12789,829,847,218,274,120,71,,,,,,,,,,,,,,,61
310M700US19430,"Dayton-Kettering-Beavercreek, OH Metro Area",120585,2321,87791,2185,30087,1680,2097,404,459,158,151,,,,,,,,,,,,,,,133
310M700US19460,"Decatur, AL Metro Area",15894,970,11060,795,4462,573,299,133,73,56,0,,,,,,,,,,,,,,,31
310M700US19500,"Decatur, IL Metro Area",12975,723,9885,684,2741,391,234,123,25,31,90,,,,,,,,,,,,,,,83
310M700US19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",72565,2335,45207,2106,24395,1443,1794,434,982,380,187,,,,,,,,,,,,,,,114
310M700US19740,"Denver-Aurora-Centennial, CO Metro Area",439123,4404,270488,3982,145328,3421,13657,1255,7900,800,1750,,,,,,,,,,,,,,,442
310M700US19780,"Des Moines-West Des Moines, IA Metro Area",90063,1861,59261,1774,27483,1495,2393,492,608,205,318,,,,,,,,,,,,,,,225
310M700US19820,"Detroit-Warren-Dearborn, MI Metro Area",509448,4653,362542,4155,131531,3282,10396,750,3981,511,998,,,,,,,,,,,,,,,241
310M700US20020,"Dothan, AL Metro Area",19457,648,13077,564,5861,395,408,150,95,48,16,,,,,,,,,,,,,,,18
310M700US20100,"Dover, DE Metro Area",19616,949,14184,935,4867,583,397,160,153,111,15,,,,,,,,,,,,,,,21
310M700US20220,"Dubuque, IA Metro Area",10927,501,7786,519,2729,411,147,106,229,103,36,,,,,,,,,,,,,,,63
310M700US20260,"Duluth, MN-WI Metro Area",33298,1029,24031,976,8745,694,329,134,151,82,42,,,,,,,,,,,,,,,45
310M700US20500,"Durham-Chapel Hill, NC Metro Area",93921,1865,62199,1840,28026,1614,2697,496,967,360,32,,,,,,,,,,,,,,,38
310M700US20580,"Eagle Pass, TX Metro Area",5329,554,2282,417,2422,435,296,183,124,127,205,,,,,,,,,,,,,,,170
310M700US20740,"Eau Claire, WI Metro Area",24440,1032,17200,897,6510,702,545,202,185,111,0,,,,,,,,,,,,,,,23
310M700US20940,"El Centro, CA Metro Area",21434,1041,8193,777,10112,890,2168,444,681,189,280,,,,,,,,,,,,,,,133
310M700US21060,"Elizabethtown, KY Metro Area",17937,860,10837,663,6553,666,416,173,108,74,23,,,,,,,,,,,,,,,37
310M700US21140,"Elkhart-Goshen, IN Metro Area",20560,1035,13336,859,6445,828,663,211,89,59,27,,,,,,,,,,,,,,,43
310M700US21300,"Elmira, NY Metro Area",11130,573,8282,558,2695,325,86,79,35,52,32,,,,,,,,,,,,,,,52
310M700US21340,"El Paso, TX Metro Area",107403,2215,55767,1921,43064,1823,5517,860,2128,386,927,,,,,,,,,,,,,,,261
310M700US21420,"Enid, OK Metro Area",8131,594,5569,545,2146,343,268,136,109,98,39,,,,,,,,,,,,,,,57
310M700US21500,"Erie, PA Metro Area",35311,1156,25725,1044,8708,677,627,202,228,104,23,,,,,,,,,,,,,,,31
310M700US21660,"Eugene-Springfield, OR Metro Area",64671,1381,39952,1257,22038,1206,1647,330,713,228,321,,,,,,,,,,,,,,,250
310M700US21780,"Evansville, IN Metro Area",33658,1107,23052,1189,9731,744,646,181,180,87,49,,,,,,,,,,,,,,,35
310M700US21820,"Fairbanks-College, AK Metro Area",13935,1030,7751,832,5495,773,339,135,235,154,115,,,,,,,,,,,,,,,96
310M700US22020,"Fargo, ND-MN Metro Area",49340,1308,33822,1454,13793,1075,1024,276,626,223,75,,,,,,,,,,,,,,,52
310M700US22140,"Farmington, NM Metro Area",12019,861,6123,581,4964,629,471,155,225,128,236,,,,,,,,,,,,,,,164
310M700US22180,"Fayetteville, NC Metro Area",63635,1209,41823,1155,19111,961,1476,244,885,281,340,,,,,,,,,,,,,,,184
310M700US22220,"Fayetteville-Springdale-Rogers, AR Metro Area",81374,1983,46974,1716,28138,1480,4336,652,1297,323,629,,,,,,,,,,,,,,,272
310M700US22380,"Flagstaff, AZ Metro Area",22209,968,11688,947,8609,761,1194,366,585,231,133,,,,,,,,,,,,,,,122
310M700US22420,"Flint, MI Metro Area",48971,1245,35265,1278,12348,738,1050,236,268,146,40,,,,,,,,,,,,,,,52
310M700US22500,"Florence, SC Metro Area",26199,1230,17269,1063,7812,776,500,186,379,160,239,,,,,,,,,,,,,,,173
310M700US22520,"Florence-Muscle Shoals, AL Metro Area",19189,1061,13464,920,5471,621,164,124,82,58,8,,,,,,,,,,,,,,,13
310M700US22540,"Fond du Lac, WI Metro Area",12664,750,9374,660,2982,382,146,69,162,142,0,,,,,,,,,,,,,,,23
310M700US22660,"Fort Collins-Loveland, CO Metro Area",55495,1213,37601,1303,16594,998,627,228,640,321,33,,,,,,,,,,,,,,,49
310M700US22900,"Fort Smith, AR-OK Metro Area",30387,1133,19454,967,9414,759,1211,281,265,127,43,,,,,,,,,,,,,,,39
