GEO_ID,NAME,Median_AQI
310M700US10180,"Abilene, TX Metro Area",
310M700US10380,"Aguadilla, PR Metro Area",
310M700US10420,"Akron, OH Metro Area",45.0
310M700US10500,"Albany, GA Metro Area",45.0
310M700US10540,"Albany, OR Metro Area",25.0
310M700US10580,"Albany-Schenectady-Troy, NY Metro Area",37.0
310M700US10740,"Albuquerque, NM Metro Area",61.0
310M700US10780,"Alexandria, LA Metro Area",39.0
310M700US10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",41.0
310M700US11020,"Altoona, PA Metro Area",37.0
310M700US11100,"Amarillo, TX Metro Area",44.0
310M700US11180,"Ames, IA Metro Area",
310M700US11200,"Amherst Town-Northampton, MA Metro Area",
310M700US11260,"Anchorage, AK Metro Area",26.0
310M700US11460,"Ann Arbor, MI Metro Area",43.0
310M700US11500,"Anniston-Oxford, AL Metro Area",
310M700US11540,"Appleton, WI Metro Area",37.0
310M700US11640,"Arecibo, PR Metro Area",
310M700US11700,"Asheville, NC Metro Area",48.0
310M700US12020,"Athens-Clarke County, GA Metro Area",46.0
310M700US12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",56.0
310M700US12100,"Atlantic City-Hammonton, NJ Metro Area",35.0
310M700US12220,"Auburn-Opelika, AL Metro Area",
310M700US12260,"Augusta-Richmond County, GA-SC Metro Area",52.0
310M700US12420,"Austin-Round Rock-San Marcos, TX Metro Area",52.0
310M700US12540,"Bakersfield-Delano, CA Metro Area",72.0
310M700US12580,"Baltimore-Columbia-Towson, MD Metro Area",47.0
310M700US12620,"Bangor, ME Metro Area",33.0
310M700US12700,"Barnstable Town, MA Metro Area",36.0
310M700US12940,"Baton Rouge, LA Metro Area",53.0
310M700US12980,"Battle Creek, MI Metro Area",
310M700US13020,"Bay City, MI Metro Area",37.0
310M700US13140,"Beaumont-Port Arthur, TX Metro Area",54.0
310M700US13220,"Beckley, WV Metro Area",
310M700US13380,"Bellingham, WA Metro Area",33.0
310M700US13460,"Bend, OR Metro Area",39.0
310M700US13740,"Billings, MT Metro Area",39.0
310M700US13780,"Binghamton, NY Metro Area",
310M700US13820,"Birmingham, AL Metro Area",57.0
310M700US13900,"Bismarck, ND Metro Area",40.0
310M700US13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",38.0
310M700US14010,"Bloomington, IL Metro Area",44.0
310M700US14020,"Bloomington, IN Metro Area",43.0
310M700US14260,"Boise City, ID Metro Area",54.0
310M700US14460,"Boston-Cambridge-Newton, MA-NH Metro Area",43.0
310M700US14500,"Boulder, CO Metro Area",49.0
310M700US14540,"Bowling Green, KY Metro Area",41.0
310M700US14580,"Bozeman, MT Metro Area",18.0
310M700US14740,"Bremerton-Silverdale-Port Orchard, WA Metro Area",19.0
310M700US14860,"Bridgeport-Stamford-Danbury, CT Metro Area",42.0
310M700US15180,"Brownsville-Harlingen, TX Metro Area",61.0
310M700US15260,"Brunswick-St. Simons, GA Metro Area",39.0
310M700US15380,"Buffalo-Cheektowaga, NY Metro Area",44.0
310M700US15500,"Burlington, NC Metro Area",
310M700US15540,"Burlington-South Burlington, VT Metro Area",37.0
310M700US15940,"Canton-Massillon, OH Metro Area",48.0
310M700US15980,"Cape Coral-Fort Myers, FL Metro Area",37.0
310M700US16020,"Cape Girardeau, MO-IL Metro Area",
310M700US16180,"Carson City, NV Metro Area",45.0
310M700US16220,"Casper, WY Metro Area",43.0
310M700US16300,"Cedar Rapids, IA Metro Area",44.0
310M700US16540,"Chambersburg, PA Metro Area",35.0
310M700US16580,"Champaign-Urbana, IL Metro Area",44.0
310M700US16620,"Charleston, WV Metro Area",40.0
310M700US16700,"Charleston-North Charleston, SC Metro Area",44.0
310M700US16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",53.0
310M700US16820,"Charlottesville, VA Metro Area",40.0
310M700US16860,"Chattanooga, TN-GA Metro Area",52.0
310M700US16940,"Cheyenne, WY Metro Area",45.0
310M700US16980,"Chicago-Naperville-Elgin, IL-IN Metro Area",56.0
310M700US17020,"Chico, CA Metro Area",46.0
310M700US17140,"Cincinnati, OH-KY-IN Metro Area",54.0
310M700US17300,"Clarksville, TN-KY Metro Area",42.0
310M700US17410,"Cleveland, OH Metro Area",
310M700US17420,"Cleveland, TN Metro Area",
310M700US17660,"Coeur d'Alene, ID Metro Area",24.0
310M700US17780,"College Station-Bryan, TX Metro Area",39.0
310M700US17820,"Colorado Springs, CO Metro Area",49.0
310M700US17860,"Columbia, MO Metro Area",39.0
310M700US17900,"Columbia, SC Metro Area",47.0
310M700US17980,"Columbus, GA-AL Metro Area",49.0
310M700US18020,"Columbus, IN Metro Area",44.0
310M700US18140,"Columbus, OH Metro Area",54.0
310M700US18580,"Corpus Christi, TX Metro Area",51.0
310M700US18700,"Corvallis, OR Metro Area",
310M700US18880,"Crestview-Fort Walton Beach-Destin, FL Metro Area",36.0
310M700US19100,"Dallas-Fort Worth-Arlington, TX Metro Area",59.0
310M700US19140,"Dalton, GA Metro Area",41.0
310M700US19300,"Daphne-Fairhope-Foley, AL Metro Area",40.0
310M700US19340,"Davenport-Moline-Rock Island, IA-IL Metro Area",46.0
310M700US19430,"Dayton-Kettering-Beavercreek, OH Metro Area",
310M700US19460,"Decatur, AL Metro Area",44.0
310M700US19500,"Decatur, IL Metro Area",43.0
310M700US19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",41.0
310M700US19740,"Denver-Aurora-Centennial, CO Metro Area",64.0
310M700US19780,"Des Moines-West Des Moines, IA Metro Area",45.0
310M700US19820,"Detroit-Warren-Dearborn, MI Metro Area",55.0
310M700US20020,"Dothan, AL Metro Area",
310M700US20100,"Dover, DE Metro Area",41.0
310M700US20220,"Dubuque, IA Metro Area",
310M700US20260,"Duluth, MN-WI Metro Area",39.0
310M700US20500,"Durham-Chapel Hill, NC Metro Area",51.0
310M700US20580,"Eagle Pass, TX Metro Area",37.0
310M700US20740,"Eau Claire, WI Metro Area",38.0
310M700US20940,"El Centro, CA Metro Area",63.0
310M700US21060,"Elizabethtown, KY Metro Area",41.0
310M700US21140,"Elkhart-Goshen, IN Metro Area",45.0
310M700US21300,"Elmira, NY Metro Area",
310M700US21340,"El Paso, TX Metro Area",67.0
310M700US21420,"Enid, OK Metro Area",
310M700US21500,"Erie, PA Metro Area",38.0
310M700US21660,"Eugene-Springfield, OR Metro Area",44.0
310M700US21780,"Evansville, IN Metro Area",46.0
310M700US21820,"Fairbanks-College, AK Metro Area",42.0
310M700US22020,"Fargo, ND-MN Metro Area",38.0
310M700US22140,"Farmington, NM Metro Area",48.0
310M700US22180,"Fayetteville, NC Metro Area",46.0
310M700US22220,"Fayetteville-Springdale-Rogers, AR Metro Area",41.0
310M700US22380,"Flagstaff, AZ Metro Area",46.0
310M700US22420,"Flint, MI Metro Area",42.0
310M700US22500,"Florence, SC Metro Area",47.0
310M700US22520,"Florence-Muscle Shoals, AL Metro Area",
310M700US22540,"Fond du Lac, WI Metro Area",38.0
310M700US22660,"Fort Collins-Loveland, CO Metro Area",54.0
310M700US22900,"Fort Smith, AR-OK Metro Area",44.0
310M700US23060,"Fort Wayne, IN Metro Area",47.0
310M700US23420,"Fresno, CA Metro Area",67.0
310M700US23460,"Gadsden, AL Metro Area",47.0
310M700US23540,"Gainesville, FL Metro Area",38.0
310M700US23580,"Gainesville, GA Metro Area",52.0
310M700US23900,"Gettysburg, PA Metro Area",44.0
310M700US24020,"Glens Falls, NY Metro Area",
310M700US24140,"Goldsboro, NC Metro Area",
310M700US24220,"Grand Forks, ND-MN Metro Area",
310M700US24260,"Grand Island, NE Metro Area",32.0
310M700US24300,"Grand Junction, CO Metro Area",48.0
310M700US24340,"Grand Rapids-Wyoming-Kentwood, MI Metro Area",51.0
310M700US24420,"Grants Pass, OR Metro Area",29.0
310M700US24500,"Great Falls, MT Metro Area",46.0
310M700US24540,"Greeley, CO Metro Area",54.0
310M700US24580,"Green Bay, WI Metro Area",38.0
310M700US24660,"Greensboro-High Point, NC Metro Area",45.0
310M700US24780,"Greenville, NC Metro Area",37.0
310M700US24860,"Greenville-Anderson-Greer, SC Metro Area",49.0
310M700US25020,"Guayama, PR Metro Area",15.0
310M700US25060,"Gulfport-Biloxi, MS Metro Area",47.0
310M700US25180,"Hagerstown-Martinsburg, MD-WV Metro Area",42.0
310M700US25220,"Hammond, LA Metro Area",47.0
310M700US25260,"Hanford-Corcoran, CA Metro Area",60.0
310M700US25420,"Harrisburg-Carlisle, PA Metro Area",48.0
310M700US25500,"Harrisonburg, VA Metro Area",42.0
310M700US25540,"Hartford-West Hartford-East Hartford, CT Metro Area",40.0
310M700US25620,"Hattiesburg, MS Metro Area",47.0
310M700US25740,"Helena, MT Metro Area",46.0
310M700US25860,"Hickory-Lenoir-Morganton, NC Metro Area",46.0
310M700US25940,"Hilton Head Island-Bluffton-Port Royal, SC Metro Area",
310M700US25980,"Hinesville, GA Metro Area",
310M700US26140,"Homosassa Springs, FL Metro Area",43.0
310M700US26300,"Hot Springs, AR Metro Area",50.0
310M700US26380,"Houma-Bayou Cane-Thibodaux, LA Metro Area",48.0
310M700US26420,"Houston-Pasadena-The Woodlands, TX Metro Area",63.0
310M700US26580,"Huntington-Ashland, WV-KY-OH Metro Area",44.0
310M700US26620,"Huntsville, AL Metro Area",44.0
310M700US26820,"Idaho Falls, ID Metro Area",43.0
310M700US26900,"Indianapolis-Carmel-Greenwood, IN Metro Area",55.0
310M700US26980,"Iowa City, IA Metro Area",39.0
310M700US27060,"Ithaca, NY Metro Area",35.0
310M700US27100,"Jackson, MI Metro Area",
310M700US27140,"Jackson, MS Metro Area",48.0
310M700US27180,"Jackson, TN Metro Area",33.0
310M700US27260,"Jacksonville, FL Metro Area",51.0
310M700US27340,"Jacksonville, NC Metro Area",
310M700US27500,"Janesville-Beloit, WI Metro Area",41.0
310M700US27620,"Jefferson City, MO Metro Area",40.0
310M700US27740,"Johnson City, TN Metro Area",
310M700US27780,"Johnstown, PA Metro Area",42.0
310M700US27860,"Jonesboro, AR Metro Area",
310M700US27900,"Joplin, MO-KS Metro Area",41.0
310M700US27980,"Kahului-Wailuku, HI Metro Area",21.0
310M700US28020,"Kalamazoo-Portage, MI Metro Area",45.0
310M700US28100,"Kankakee, IL Metro Area",
310M700US28140,"Kansas City, MO-KS Metro Area",53.0
310M700US28420,"Kennewick-Richland, WA Metro Area",36.0
310M700US28450,"Kenosha, WI Metro Area",
310M700US28660,"Killeen-Temple, TX Metro Area",46.0
310M700US28700,"Kingsport-Bristol, TN-VA Metro Area",41.0
310M700US28740,"Kingston, NY Metro Area",
310M700US28880,"Kiryas Joel-Poughkeepsie-Newburgh, NY Metro Area",
310M700US28940,"Knoxville, TN Metro Area",52.0
310M700US29020,"Kokomo, IN Metro Area",44.0
310M700US29100,"La Crosse-Onalaska, WI-MN Metro Area",37.0
310M700US29180,"Lafayette, LA Metro Area",51.0
310M700US29200,"Lafayette-West Lafayette, IN Metro Area",44.0
310M700US29340,"Lake Charles, LA Metro Area",49.0
310M700US29420,"Lake Havasu City-Kingman, AZ Metro Area",19.0
310M700US29460,"Lakeland-Winter Haven, FL Metro Area",39.0
310M700US29540,"Lancaster, PA Metro Area",50.0
310M700US29620,"Lansing-East Lansing, MI Metro Area",40.0
310M700US29700,"Laredo, TX Metro Area",45.0
310M700US29740,"Las Cruces, NM Metro Area",62.0
310M700US29820,"Las Vegas-Henderson-North Las Vegas, NV Metro Area",64.0
310M700US29940,"Lawrence, KS Metro Area",
310M700US30020,"Lawton, OK Metro Area",43.0
310M700US30140,"Lebanon, PA Metro Area",43.0
310M700US30300,"Lewiston, ID-WA Metro Area",43.0
310M700US30340,"Lewiston-Auburn, ME Metro Area",31.0
310M700US30460,"Lexington-Fayette, KY Metro Area",43.0
310M700US30500,"Lexington Park, MD Metro Area",
310M700US30620,"Lima, OH Metro Area",42.0
310M700US30700,"Lincoln, NE Metro Area",41.0
310M700US30780,"Little Rock-North Little Rock-Conway, AR Metro Area",55.0
310M700US30860,"Logan, UT-ID Metro Area",44.0
310M700US30980,"Longview, TX Metro Area",37.0
310M700US31020,"Longview-Kelso, WA Metro Area",22.0
310M700US31080,"Los Angeles-Long Beach-Anaheim, CA Metro Area",80.0
310M700US31140,"Louisville/Jefferson County, KY-IN Metro Area",51.0
310M700US31180,"Lubbock, TX Metro Area",23.0
310M700US31340,"Lynchburg, VA Metro Area",28.0
310M700US31420,"Macon-Bibb County, GA Metro Area",51.0
310M700US31540,"Madison, WI Metro Area",42.0
310M700US31700,"Manchester-Nashua, NH Metro Area",37.0
310M700US31740,"Manhattan, KS Metro Area",
310M700US31860,"Mankato, MN Metro Area",45.0
310M700US31900,"Mansfield, OH Metro Area",
310M700US32420,"Mayagüez, PR Metro Area",11.0
310M700US32580,"McAllen-Edinburg-Mission, TX Metro Area",54.0
310M700US32780,"Medford, OR Metro Area",41.0
310M700US32820,"Memphis, TN-MS-AR Metro Area",56.0
310M700US32900,"Merced, CA Metro Area",52.0
310M700US33100,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",51.0
310M700US33140,"Michigan City-La Porte, IN Metro Area",41.0
310M700US33220,"Midland, MI Metro Area",
310M700US33260,"Midland, TX Metro Area",
310M700US33340,"Milwaukee-Waukesha, WI Metro Area",45.0
310M700US33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",47.0
310M700US33500,"Minot, ND Metro Area",37.0
310M700US33540,"Missoula, MT Metro Area",43.0
310M700US33660,"Mobile, AL Metro Area",45.0
310M700US33700,"Modesto, CA Metro Area",53.0
310M700US33740,"Monroe, LA Metro Area",41.0
310M700US33780,"Monroe, MI Metro Area",18.0
310M700US33860,"Montgomery, AL Metro Area",42.0
310M700US34060,"Morgantown, WV Metro Area",43.0
310M700US34100,"Morristown, TN Metro Area",40.0
310M700US34580,"Mount Vernon-Anacortes, WA Metro Area",26.0
310M700US34620,"Muncie, IN Metro Area",44.0
310M700US34740,"Muskegon-Norton Shores, MI Metro Area",38.0
310M700US34820,"Myrtle Beach-Conway-North Myrtle Beach, SC Metro Area",40.0
310M700US34900,"Napa, CA Metro Area",
310M700US34940,"Naples-Marco Island, FL Metro Area",42.0
310M700US34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",51.0
310M700US35300,"New Haven, CT Metro Area",41.0
310M700US35380,"New Orleans-Metairie, LA Metro Area",48.0
310M700US35620,"New York-Newark-Jersey City, NY-NJ Metro Area",52.0
310M700US35660,"Niles, MI Metro Area",41.0
310M700US35840,"North Port-Bradenton-Sarasota, FL Metro Area",44.0
310M700US35980,"Norwich-New London-Willimantic, CT Metro Area",37.0
310M700US36100,"Ocala, FL Metro Area",49.0
310M700US36220,"Odessa, TX Metro Area",36.0
310M700US36260,"Ogden, UT Metro Area",50.0
310M700US36420,"Oklahoma City, OK Metro Area",53.0
310M700US36500,"Olympia-Lacey-Tumwater, WA Metro Area",26.0
310M700US36540,"Omaha, NE-IA Metro Area",50.0
310M700US36740,"Orlando-Kissimmee-Sanford, FL Metro Area",44.0
310M700US36780,"Oshkosh-Neenah, WI Metro Area",
310M700US36980,"Owensboro, KY Metro Area",43.0
310M700US37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",50.0
310M700US37140,"Paducah, KY-IL Metro Area",43.0
310M700US37340,"Palm Bay-Melbourne-Titusville, FL Metro Area",40.0
310M700US37460,"Panama City-Panama City Beach, FL Metro Area",47.0
310M700US37620,"Parkersburg-Vienna, WV Metro Area",43.0
310M700US37860,"Pensacola-Ferry Pass-Brent, FL Metro Area",46.0
310M700US37900,"Peoria, IL Metro Area",44.0
310M700US37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",53.0
310M700US38060,"Phoenix-Mesa-Chandler, AZ Metro Area",86.0
310M700US38240,"Pinehurst-Southern Pines, NC Metro Area",
310M700US38300,"Pittsburgh, PA Metro Area",53.0
310M700US38340,"Pittsfield, MA Metro Area",38.0
310M700US38540,"Pocatello, ID Metro Area",39.0
310M700US38660,"Ponce, PR Metro Area",3.0
310M700US38860,"Portland-South Portland, ME Metro Area",39.0
310M700US38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",38.0
310M700US38940,"Port St. Lucie, FL Metro Area",40.0
310M700US39150,"Prescott Valley-Prescott, AZ Metro Area",
310M700US39300,"Providence-Warwick, RI-MA Metro Area",42.0
310M700US39340,"Provo-Orem-Lehi, UT Metro Area",47.0
310M700US39380,"Pueblo, CO Metro Area",44.0
310M700US39460,"Punta Gorda, FL Metro Area",
310M700US39540,"Racine-Mount Pleasant, WI Metro Area",42.0
310M700US39580,"Raleigh-Cary, NC Metro Area",47.0
310M700US39660,"Rapid City, SD Metro Area",50.0
310M700US39740,"Reading, PA Metro Area",43.0
310M700US39820,"Redding, CA Metro Area",44.0
310M700US39900,"Reno, NV Metro Area",50.0
310M700US40060,"Richmond, VA Metro Area",44.0
310M700US40140,"Riverside-San Bernardino-Ontario, CA Metro Area",97.0
310M700US40220,"Roanoke, VA Metro Area",40.0
310M700US40340,"Rochester, MN Metro Area",44.0
310M700US40380,"Rochester, NY Metro Area",39.0
310M700US40420,"Rockford, IL Metro Area",43.0
310M700US40580,"Rocky Mount, NC Metro Area",37.0
310M700US40660,"Rome, GA Metro Area",38.0
310M700US40900,"Sacramento-Roseville-Folsom, CA Metro Area",55.0
310M700US40980,"Saginaw, MI Metro Area",
310M700US41060,"St. Cloud, MN Metro Area",39.0
310M700US41100,"St. George, UT Metro Area",44.0
310M700US41140,"St. Joseph, MO-KS Metro Area",48.0
310M700US41180,"St. Louis, MO-IL Metro Area",55.0
310M700US41420,"Salem, OR Metro Area",35.0
310M700US41500,"Salinas, CA Metro Area",39.0
310M700US41540,"Salisbury, MD Metro Area",40.0
310M700US41620,"Salt Lake City-Murray, UT Metro Area",56.0
310M700US41660,"San Angelo, TX Metro Area",
310M700US41700,"San Antonio-New Braunfels, TX Metro Area",53.0
310M700US41740,"San Diego-Chula Vista-Carlsbad, CA Metro Area",71.0
310M700US41780,"Sandusky, OH Metro Area",
310M700US41860,"San Francisco-Oakland-Fremont, CA Metro Area",53.0
310M700US41940,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",51.0
310M700US41980,"San Juan-Bayamón-Caguas, PR Metro Area",49.0
310M700US42020,"San Luis Obispo-Paso Robles, CA Metro Area",49.0
310M700US42100,"Santa Cruz-Watsonville, CA Metro Area",39.0
310M700US42140,"Santa Fe, NM Metro Area",45.0
310M700US42200,"Santa Maria-Santa Barbara, CA Metro Area",49.0
310M700US42220,"Santa Rosa-Petaluma, CA Metro Area",19.0
310M700US42340,"Savannah, GA Metro Area",44.0
310M700US42540,"Scranton--Wilkes-Barre, PA Metro Area",40.0
310M700US42660,"Seattle-Tacoma-Bellevue, WA Metro Area",47.0
310M700US42680,"Sebastian-Vero Beach-West Vero Corridor, FL Metro Area",35.0
310M700US42700,"Sebring, FL Metro Area",35.0
310M700US43100,"Sheboygan, WI Metro Area",40.0
310M700US43300,"Sherman-Denison, TX Metro Area",
310M700US43340,"Shreveport-Bossier City, LA Metro Area",51.0
310M700US43420,"Sierra Vista-Douglas, AZ Metro Area",48.0
310M700US43580,"Sioux City, IA-NE-SD Metro Area",43.0
310M700US43620,"Sioux Falls, SD-MN Metro Area",34.0
310M700US43640,"Slidell-Mandeville-Covington, LA Metro Area",
310M700US43780,"South Bend-Mishawaka, IN-MI Metro Area",45.0
310M700US43900,"Spartanburg, SC Metro Area",49.0
310M700US44060,"Spokane-Spokane Valley, WA Metro Area",44.0
310M700US44100,"Springfield, IL Metro Area",41.0
310M700US44140,"Springfield, MA Metro Area",38.0
310M700US44180,"Springfield, MO Metro Area",45.0
310M700US44220,"Springfield, OH Metro Area",45.0
310M700US44300,"State College, PA Metro Area",40.0
310M700US44420,"Staunton-Stuarts Draft, VA Metro Area",
310M700US44700,"Stockton-Lodi, CA Metro Area",51.0
310M700US44940,"Sumter, SC Metro Area",
310M700US45060,"Syracuse, NY Metro Area",36.0
310M700US45220,"Tallahassee, FL Metro Area",47.0
310M700US45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",51.0
310M700US45460,"Terre Haute, IN Metro Area",47.0
310M700US45500,"Texarkana, TX-AR Metro Area",49.0
310M700US45780,"Toledo, OH Metro Area",53.0
310M700US45820,"Topeka, KS Metro Area",45.0
310M700US45900,"Traverse City, MI Metro Area",38.0
310M700US45940,"Trenton-Princeton, NJ Metro Area",43.0
310M700US46060,"Tucson, AZ Metro Area",56.0
310M700US46140,"Tulsa, OK Metro Area",51.0
310M700US46220,"Tuscaloosa, AL Metro Area",37.0
310M700US46300,"Twin Falls, ID Metro Area",23.0
310M700US46340,"Tyler, TX Metro Area",39.0
310M700US46520,"Urban Honolulu, HI Metro Area",31.0
310M700US46540,"Utica-Rome, NY Metro Area",27.0
310M700US46660,"Valdosta, GA Metro Area",44.0
310M700US46700,"Vallejo, CA Metro Area",36.0
310M700US47020,"Victoria, TX Metro Area",35.0
310M700US47220,"Vineland, NJ Metro Area",39.0
310M700US47260,"Virginia Beach-Chesapeake-Norfolk, VA-NC Metro Area",41.0
310M700US47300,"Visalia, CA Metro Area",71.0
310M700US47380,"Waco, TX Metro Area",53.0
310M700US47460,"Walla Walla, WA Metro Area",38.0
310M700US47580,"Warner Robins, GA Metro Area",43.0
310M700US47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",49.0
310M700US47930,"Waterbury-Shelton, CT Metro Area",
310M700US47940,"Waterloo-Cedar Falls, IA Metro Area",48.0
310M700US48060,"Watertown-Fort Drum, NY Metro Area",32.0
310M700US48140,"Wausau, WI Metro Area",37.0
310M700US48260,"Weirton-Steubenville, WV-OH Metro Area",46.0
310M700US48300,"Wenatchee-East Wenatchee, WA Metro Area",28.0
310M700US48540,"Wheeling, WV-OH Metro Area",45.0
310M700US48620,"Wichita, KS Metro Area",47.0
310M700US48660,"Wichita Falls, TX Metro Area",
310M700US48680,"Wildwood-The Villages, FL Metro Area",
310M700US48700,"Williamsport, PA Metro Area",39.0
310M700US48900,"Wilmington, NC Metro Area",39.0
310M700US49020,"Winchester, VA-WV Metro Area",41.0
310M700US49180,"Winston-Salem, NC Metro Area",50.0
310M700US49340,"Worcester, MA Metro Area",37.0
310M700US49420,"Yakima, WA Metro Area",37.0
310M700US49620,"York-Hanover, PA Metro Area",44.0
310M700US49660,"Youngstown-Warren, OH Metro Area",46.0
310M700US49700,"Yuba City, CA Metro Area",49.0
310M700US49740,"Yuma, AZ Metro Area",47.0
