"CBSA Code","CBSA","CO 2nd Max 1-hr","CO 2nd Max 8-hr","NO2 98th Percentile 1-hr","NO2 Mean 1-hr","Ozone 2nd Max 1-hr","Ozone 4th Max 8-hr","SO2 99th Percentile 1-hr","SO2 2nd Max 24-hr","SO2 Mean 1-hr","PM2.5 98th Percentile 24-hr","PM2.5 Weighted Mean 24-hr","PM10 2nd Max 24-hr","PM10 Mean 24-hr","Lead Max 3-Mo Avg"
"29620","Lansing-East Lansing, MI",".",".","31","6","0.07","0.061","3","2","1","16","6.6","47","14","."
"29660","Laramie, WY",".",".",".",".","0.08","0.074",".",".",".","8","1.9","254","36","."
"29700","Laredo, TX","3.2","1.6",".",".","0.08","0.071",".",".",".","26","9.1","53","26","."
"29740","Las Cruces, NM",".",".","48","7","0.1","0.078",".",".",".","34","9.7","546","55","."
"29820","Las Vegas-Henderson-Paradise, NV","2.9","2.6","51","20","0.09","0.075","5","3","1","31","9.2","162","36","."
"29980","Lawrenceburg, TN",".",".",".",".",".",".",".",".",".","16","7.2",".",".","."
"30020","Lawton, OK",".",".",".",".","0.09","0.073",".",".",".","15","6.6",".",".","."
"30140","Lebanon, PA",".",".",".",".","0.08","0.066",".",".",".","20","8",".",".","."
"30340","Lewiston-Auburn, ME",".",".",".",".","0.07","0.053",".",".",".","13","4.1",".",".","."
"30460","Lexington-Fayette, KY",".",".",".","7","0.07","0.062","3","2","0",".",".",".",".","."
"30620","Lima, OH",".",".",".",".","0.07","0.065",".",".",".","16","6.8",".",".","."
"30700","Lincoln, NE",".",".",".",".","0.07","0.059",".",".",".","26","8.1",".",".","."
"30780","Little Rock-North Little Rock-Conway, AR","1.4","1.4",".",".","0.08","0.062","8","2","0","31","10.9","42","18","."
"30860","Logan, UT-ID",".",".","30","5","0.08","0.068",".",".",".","32","7.2",".",".","."
"30980","Longview, TX",".",".","20","2","0.09","0.069","20","5","1",".",".",".",".","."
"31080","Los Angeles-Long Beach-Anaheim, CA","3.5","2.6","63","21","0.14","0.107","8","1","0","42","13.5","134","32","0.02"
"31140","Louisville/Jefferson County, KY-IN","1.7","1","44","13","0.09","0.08","22","5","1","18","8.4","52","19","."
"31180","Lubbock, TX",".",".",".",".",".",".",".",".",".","14","4.6",".",".","."
"31220","Ludington, MI",".",".",".",".","0.07","0.062",".",".",".",".",".",".",".","."
"31340","Lynchburg, VA",".",".",".",".",".",".",".",".",".","13","5.6",".",".","."
"31420","Macon, GA",".",".",".",".","0.08","0.065",".",".",".","17","9",".",".","."
"31460","Madera, CA",".",".","20","5","0.09","0.077",".",".",".","31","9","121","35","."
"31540","Madison, WI",".",".",".",".","0.08","0.063",".",".",".","15","6.9","58","15","."
"31700","Manchester-Nashua, NH","0.1","0.2",".",".","0.08","0.064","1","1","0","13","3.8",".",".","."
"31820","Manitowoc, WI",".",".",".",".","0.09","0.071",".",".",".",".",".",".",".","."
"31930","Marietta, OH",".",".",".",".","0.08","0.062","22","9","1",".",".",".",".","."
"32140","Marshall, MN",".",".",".",".","0.07","0.059",".",".",".","18","6.8","150","23","."
"32220","Marshall, TX",".",".","18","2","0.08","0.062","11","1","0","20","8.5",".",".","."
"32420","Mayaguez, PR",".",".",".",".","0.05",".",".",".",".",".",".",".",".","."
"32540","McAlester, OK",".",".",".",".","0.08","0.067",".",".",".","19","8.9",".",".","0.01"
"32580","McAllen-Edinburg-Mission, TX",".",".",".",".",".",".",".",".",".","47","14.1","128","35","."
"32780","Medford, OR",".",".",".",".","0.08","0.063",".",".",".","29","7.9","38","12","."
"32820","Memphis, TN-MS-AR","1.2","0.8",".","7","0.1","0.074","2","1","0","24","8.8","85","25","."
"32900","Merced, CA",".",".",".",".","0.1","0.081",".",".",".","27","7.8","105","31","."
"32940","Meridian, MS",".",".",".",".","0.06","0.053",".",".",".",".",".",".",".","."
"33060","Miami, OK",".",".",".",".","0.11","0.064",".",".",".","25","10.1","93","27","0.03"
"33100","Miami-Fort Lauderdale-West Palm Beach, FL","2.1","1.4","50","15","0.08","0.062","2","1","1","19","8.7","61","20","."
"33140","Michigan City-La Porte, IN",".",".",".",".","0.09","0.069",".",".",".","16","6.8",".",".","."
"33180","Middlesborough, KY",".",".",".",".","0.07","0.057",".",".",".","19","8",".",".","."
"33340","Milwaukee-Waukesha-West Allis, WI","1.5","0.7","42","11","0.1","0.075","3","1","0","19","7.6","57","15","."
"33460","Minneapolis-St. Paul-Bloomington, MN-WI","2.4","1.5","34","9","0.07","0.061","13","6","2","24","7.8","108","20","0.14"
"33500","Minot, ND",".",".","9","2","0.07","0.054","7","3","2","16","5.6",".",".","."
"33540","Missoula, MT",".",".",".",".","0.07","0.057",".",".",".","29","7.9","81","15","."
"33660","Mobile, AL",".",".",".",".","0.07","0.06","44","7","1","17","8",".",".","."
"33700","Modesto, CA","1.6","1.2","34","7","0.1","0.084",".",".",".","34","9.3","106","28","."
"33740","Monroe, LA",".",".",".",".","0.08","0.061",".",".",".","17","7.9",".",".","."
"33860","Montgomery, AL",".",".",".",".","0.08","0.06",".",".",".","17","8.6","32","14","."
"33980","Morehead City, NC",".",".",".",".","0.06","0.057",".",".",".",".",".",".",".","."
"34060","Morgantown, WV",".",".",".",".","0.08","0.063",".",".",".","13","6.2",".",".","."
"34100","Morristown, TN",".",".",".",".","0.08","0.065",".",".",".",".",".",".",".","."
"34420","Mount Pleasant, TX",".",".",".",".",".",".","18","4","1",".",".",".",".","."
"34500","Mount Vernon, IL",".",".",".",".","0.08","0.061",".",".",".","17","7.8",".",".","."
"34540","Mount Vernon, OH",".",".",".",".","0.08","0.065",".",".",".",".",".",".",".","."
"34580","Mount Vernon-Anacortes, WA",".",".",".",".","0.05","0.04",".",".",".","9","4.3",".",".","."
"34620","Muncie, IN",".",".",".",".","0.07","0.065",".",".",".","17","7.6",".",".","0.04"
"34700","Muscatine, IA",".",".",".",".",".",".","17","4","0","18","7",".",".","."
"34740","Muskegon, MI",".",".",".",".","0.08","0.071",".",".",".",".",".",".",".","."
"34820","Myrtle Beach-Conway-North Myrtle Beach, SC-NC",".",".",".",".","0.06","0.058",".",".",".","16","7",".",".","."
"34940","Naples-Immokalee-Marco Island, FL",".",".",".",".","0.07","0.06",".",".",".",".",".",".",".","."
"34980","Nashville-Davidson--Murfreesboro--Franklin, TN","1.8","1.4","51","12","0.09","0.072","2","4","0","16","8.5","52","16","."
"35220","New Castle, IN",".",".",".",".",".",".",".",".",".","16","6.9",".",".","."
"35300","New Haven-Milford, CT","1.6","1.3","44","11","0.11","0.077","2","1","0","16","6.2","25","11","."
"35380","New Orleans-Metairie, LA","1.6","1.2","42","9","0.09","0.07","44","15","1","16","9","53","17","0.01"
"35620","New York-Newark-Jersey City, NY-NJ-PA","2.7","1.6","66","20","0.11","0.078","7","5","1","21","8.3","38","15","."
"35660","Niles-Benton Harbor, MI",".",".",".",".","0.09","0.065",".",".",".",".",".",".",".","."
"35700","Nogales, AZ",".",".",".",".",".",".",".",".",".","35","10.8","171","46","."
"35840","North Port-Sarasota-Bradenton, FL",".",".",".",".","0.08","0.063","3","2","0","14","6.7","61","17","."
"35980","Norwich-New London, CT",".",".",".",".","0.09","0.073",".",".",".","15","5.5",".",".","."
"36100","Ocala, FL",".",".",".",".","0.07","0.063",".",".",".",".",".",".",".","."
"36220","Odessa, TX",".",".",".",".",".",".",".",".",".","19","7.3",".",".","."
"36260","Ogden-Clearfield, UT","1.2","0.8","39","10","0.1","0.079",".",".",".","25","6.7","88","19","."
"36300","Ogdensburg-Massena, NY",".",".",".",".",".",".","83","43","4",".",".",".",".","."
"36420","Oklahoma City, OK","1.9","1.4",".","12","0.09","0.076","1","0","0","20","9.1","74","22","."
"36500","Olympia-Tumwater, WA",".",".",".",".","0.06","0.054",".",".",".",".",".",".",".","."
"36540","Omaha-Council Bluffs, NE-IA","5.3","2.5",".",".","0.08","0.064","38","11","1","19","8.6","86","22","0.11"
"36740","Orlando-Kissimmee-Sanford, FL","1.7","1.2",".","3","0.08","0.069","4","3","1","12","6.5","29","15","."
"36860","Ottawa-Peru, IL",".",".",".",".",".",".","13","3","0",".",".",".",".","."
"36980","Owensboro, KY",".",".",".",".","0.07","0.061",".",".",".",".",".",".",".","."
"37080","Oxford, NC",".",".",".",".","0.08","0.064",".",".",".",".",".",".",".","."
"37100","Oxnard-Thousand Oaks-Ventura, CA",".",".","30","7","0.09","0.076",".",".",".","14","7.3","89","20","."
"37140","Paducah, KY-IL",".",".","38","5","0.08","0.062","10","3","1","15","6.9",".",".","."
"37220","Pahrump, NV",".",".",".",".",".",".",".",".",".",".",".","126","29","."
"37260","Palatka, FL",".",".",".",".",".",".","5","2","1",".",".","156","30","."
"37340","Palm Bay-Melbourne-Titusville, FL",".",".",".",".","0.07","0.061",".",".",".","11","5.6","44","14","."
"37460","Panama City, FL",".",".",".",".","0.1","0.06",".",".",".",".",".",".",".","."
"37620","Parkersburg-Vienna, WV",".",".",".",".","0.08","0.063","22","4","1","15","6.8",".",".","."
"37740","Payson, AZ",".",".",".",".","0.09","0.081","76","13","2",".",".","125","23","0.05"
"37860","Pensacola-Ferry Pass-Brent, FL",".",".",".",".","0.07","0.062","6","2","1","16","7.4","43","15","."
"37900","Peoria, IL",".",".",".",".","0.07","0.062","4","2","0","17","7.3",".",".","."
"37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","2.2","1.3","50","14","0.09","0.076","6","2","1","24","10","42","17","."
"38060","Phoenix-Mesa-Scottsdale, AZ","3.4","2.7","60","25","0.1","0.08","6","2","1","36","12.9","416","83","."
"38180","Pierre, SD",".",".",".",".",".",".",".",".",".","14","2.2",".",".","."
"38300","Pittsburgh, PA","9.6","4.6","35","8","0.08","0.071","61","10","1","26","9","56","18","."
"38340","Pittsfield, MA",".",".","26","5","0.08","0.066",".",".",".","17","5.8",".",".","."
"38420","Platteville, WI",".",".",".",".",".",".",".",".",".","18","7.3",".",".","."
"38540","Pocatello, ID",".",".",".",".","0.07","0.06","38","12","4",".",".","77","20","."
"38580","Point Pleasant, WV-OH",".",".",".",".",".",".","88","19","2",".",".",".",".","."
"38620","Ponca City, OK",".",".",".",".",".",".","7","2","0","24","9.1",".",".","."
"38660","Ponce, PR","1.7","0.5",".",".",".",".",".",".",".","21","6.8","60","23","."
"38820","Port Angeles, WA","0.1","0.2",".",".","0.05","0.048","1","1","0",".",".",".",".","."
"38860","Portland-South Portland, ME",".",".",".",".","0.08","0.065",".",".",".","18","6.4","75","16","."
"38900","Portland-Vancouver-Hillsboro, OR-WA","1.5","1.3","29","9","0.09","0.073","2","1","0","17","5","22","8","."
"38940","Port St. Lucie, FL",".",".",".",".","0.06","0.057",".",".",".","13","6.2","56","16","."
"39020","Portsmouth, OH",".",".",".",".",".",".","14","3","1","13","6.5","41","16","."
"39140","Prescott, AZ",".",".",".",".","0.08","0.07",".",".",".",".",".",".",".","."
"39220","Price, UT",".",".","13","2","0.08","0.068",".",".",".","11","3.7",".",".","."
"39260","Prineville, OR",".",".",".",".",".",".",".",".",".","32","6.7",".",".","."
"39300","Providence-Warwick, RI-MA","1.5","1.2","40","11","0.09","0.068","3","1","0","16","6.3","24","10","."
"39340","Provo-Orem, UT","1.2","0.8","39","8","0.09","0.073",".",".",".","25","7.8","70","22","."
"39380","Pueblo, CO",".",".",".",".","0.09","0.076",".",".",".","13","4.7","65","18","."
"39500","Quincy, IL-MO",".",".",".",".","0.07","0.061",".",".",".",".",".",".",".","."
"39540","Racine, WI",".",".",".",".","0.1","0.078",".",".",".",".",".",".",".","."
"39580","Raleigh, NC","1.3","1.1","34","8","0.08","0.064","2","1","0","17","7.7","32","14","."
"39660","Rapid City, SD",".",".","27","4","0.09","0.078","8","3","0","24","6.9","173","37","."
"39740","Reading, PA",".",".",".",".","0.08","0.067","3","2","1","18","7.1",".",".","."
"39780","Red Bluff, CA",".",".",".",".","0.08","0.068",".",".",".","18","5.9","55","17","."
"39820","Redding, CA",".",".",".",".","0.08","0.065",".",".",".","24","6","30","10","."
"39860","Red Wing, MN",".",".",".",".","0.07","0.058",".",".",".",".",".",".",".","."
"39900","Reno, NV","1.6","1","44","10","0.08","0.07","3","1","0","21","6.6","59","22","."
"40060","Richmond, VA","1.6","1.1","44","13","0.08","0.06","3","1","0","17","7","67","14","."
"40080","Richmond-Berea, KY",".",".",".",".",".",".",".",".",".",".",".",".",".","0.09"
"40140","Riverside-San Bernardino-Ontario, CA","3.7","2.2","70","26","0.15","0.117","2","1","0","67","15.1","311","47","0.01"
"40180","Riverton, WY",".",".","4","1","0.08","0.069","40","8","1","18","5.9","60","9","."
"40220","Roanoke, VA","0.7","0.5","29","4","0.06","0.057","3","2","1","14","6.2",".",".","."
"40260","Roanoke Rapids, NC",".",".","13","1",".",".",".",".",".","16","6.4",".",".","."
"40340","Rochester, MN",".",".",".",".","0.07","0.059",".",".",".","18","8.1",".",".","."
"40380","Rochester, NY","1","0.6","30","7","0.07","0.061","1","0","0","16","7","18","9","."
"40420","Rockford, IL",".",".",".",".","0.08","0.067",".",".",".","17","7.3",".",".","."
"40500","Rockland, ME",".",".",".",".","0.07","0.062",".",".",".",".",".",".",".","."
"40540","Rock Springs, WY",".",".","33","2","0.08","0.07","12","2","1","12","3.1","144","23","."
"40580","Rocky Mount, NC",".",".",".",".","0.07","0.06",".",".",".",".",".",".",".","."
"40860","Rutland, VT","1.8","0.8","26","5","0.07","0.057","1","1","0","17","6.4","27","12","."
"40900","Sacramento--Roseville--Arden-Arcade, CA","1.4","1.2","39","8","0.09","0.08",".",".",".","27","8.6","51","19","."
"41060","St. Cloud, MN",".",".",".",".","0.07","0.06",".",".",".","18","6.6",".",".","."
"41100","St. George, UT",".",".","29","4","0.08","0.067",".",".",".","9","3.8",".",".","."
"41140","St. Joseph, MO-KS",".",".",".",".","0.08","0.065",".",".",".","17","8.4","88","29","."
"41180","St. Louis, MO-IL","1.5","1.1","48","11","0.09","0.069","27","5","1","20","8.9","237","42","0.05"
"41260","St. Marys, PA",".",".",".",".","0.06","0.058",".",".",".",".",".",".",".","."
"41400","Salem, OH",".",".",".",".",".",".",".",".",".",".",".","30","12","0.01"
"41420","Salem, OR",".",".",".",".","0.08","0.067",".",".",".","16","5.2",".",".","."
"41460","Salina, KS",".",".",".",".",".",".",".",".",".",".",".",".",".","0.03"
"41500","Salinas, CA","1","0.6","20","3","0.07","0.057",".",".",".","16","6.2","72","22","."
"41540","Salisbury, MD-DE",".",".",".",".","0.07","0.063","7","1","0","15","6.2",".",".","."
"41620","Salt Lake City, UT","2","1.4","46","15","0.1","0.081","5","2","1","38","9.6","89","23","."
"41700","San Antonio-New Braunfels, TX","1.5","1","45","9","0.09","0.076","2","1","0","40","10.8","106","28","."
"41740","San Diego-Carlsbad, CA","3.2","2.2","60","13","0.1","0.084",".",".",".","33","13.8","151","44","0.02"
"41760","Sandpoint, ID",".",".",".",".",".",".",".",".",".",".",".","57","14","."
"41860","San Francisco-Oakland-Hayward, CA","1.9","1.7",".",".",".",".",".",".",".","22","9.7",".",".","."
"41940","San Jose-Sunnyvale-Santa Clara, CA","1.4","1.3",".",".","0.08","0.063",".",".",".","28","9.2","33","13","0.02"
"41980","San Juan-Carolina-Caguas, PR","6.1","1.2",".",".",".",".","0","0","0","25","7.6","80","25","."
"42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA",".",".","24","3","0.08","0.074","1","0","0","16","5.6","96","20","."
"42100","Santa Cruz-Watsonville, CA",".",".",".",".","0.06","0.05",".",".",".","16","6.2",".",".","."
"42140","Santa Fe, NM",".",".",".",".","0.07","0.068",".",".",".","8","3",".",".","."
"42200","Santa Maria-Santa Barbara, CA","1.2","0.8",".","2","0.07","0.065","2","2","1","16","7.3","70","21","."
"42220","Santa Rosa, CA","1","0.7",".",".",".",".",".",".",".","14","3.4","26","9","."
"42340","Savannah, GA",".",".",".",".","0.07","0.058","53","18","2","19","8.1",".",".","."
"42380","Sayre, PA",".",".",".",".","0.07","0.058",".",".",".","14","5.9",".",".","."
"42420","Scottsbluff, NE",".",".",".",".","0.09","0.077",".",".",".","21","4.2",".",".","."
"42540","Scranton--Wilkes-Barre--Hazleton, PA","1.9","1.5","46","9","0.07","0.064","2","1","0","11","5.2",".",".","."
"42660","Seattle-Tacoma-Bellevue, WA","0.8","0.6","47","14","0.09","0.07","2","1","0","22","7.9","34","12","."
"42680","Sebastian-Vero Beach, FL",".",".",".",".","0.06","0.055",".",".",".",".",".",".",".","."
"42700","Sebring, FL",".",".",".",".","0.07","0.062",".",".",".",".",".",".",".","."
"42940","Sevierville, TN",".",".",".",".","0.07","0.063",".",".",".",".",".",".",".","."
"43100","Sheboygan, WI",".",".",".",".","0.1","0.076",".",".",".",".",".",".",".","."
"43260","Sheridan, WY",".",".",".",".",".",".",".",".",".","26","5.7","112","21","."
"43340","Shreveport-Bossier City, LA",".",".",".",".","0.08","0.068","4","2","0","19","9.5","85","17","."
"43420","Sierra Vista-Douglas, AZ",".",".",".",".","0.09","0.074",".",".",".",".",".","193","31","."
"43580","Sioux City, IA-NE-SD",".",".",".",".","0.07","0.063",".",".",".","19","7.6",".",".","."
"43620","Sioux Falls, SD","0.5","0.4","27","6","0.07","0.062","1","1","0","18","4.5","112","17","."
"43700","Somerset, KY",".",".",".",".","0.06","0.056",".",".",".","13","6.6",".",".","."
"43740","Somerset, PA",".",".",".",".","0.07","0.064",".",".",".",".",".",".",".","."
"43760","Sonora, CA",".",".",".",".","0.08","0.071",".",".",".",".",".",".",".","."
"43780","South Bend-Mishawaka, IN-MI",".",".","29","4","0.08","0.069",".",".",".","21","7.7",".",".","."
"43900","Spartanburg, SC",".",".",".",".","0.08","0.071",".",".",".","18","8.4",".",".","."
"44060","Spokane-Spokane Valley, WA",".",".",".",".","0.07","0.066",".",".",".","22","6.9","85","20","."
"44100","Springfield, IL",".",".",".",".","0.07","0.062",".",".",".","16","6.9",".",".","."
"44140","Springfield, MA",".",".","40","9","0.09","0.068","2","1","0","17","5.9","31","8","."
"44180","Springfield, MO",".",".",".",".","0.08","0.062",".",".",".","19","7.9","68","18","."
"44220","Springfield, OH",".",".",".",".","0.09","0.068",".",".",".","17","7.7",".",".","."
"44300","State College, PA",".",".","24","4","0.07","0.066","2","1","0",".",".",".",".","."
"44460","Steamboat Springs, CO",".",".",".",".",".",".",".",".",".",".",".","52","16","."
"44700","Stockton-Lodi, CA","1","0.7","23","4","0.1","0.068",".",".",".","33","10.1","82","25","."
"44900","Summerville, GA",".",".",".",".","0.07","0.059",".",".",".",".",".",".",".","."
"45060","Syracuse, NY",".",".",".",".","0.07","0.062",".",".",".","13","5.1",".",".","."
"45220","Tallahassee, FL","0.2","0.2",".",".","0.07","0.057","2","2","1","30","8.6",".",".","."
"45300","Tampa-St. Petersburg-Clearwater, FL","1.9","0.9","39","9","0.08","0.069","32","6","2","15","7.4","60","24","0.08"
"45340","Taos, NM",".",".",".",".",".",".",".",".",".","10","3.4",".",".","."
"45460","Terre Haute, IN",".",".",".",".","0.07","0.064","3","2","0","20","8.9",".",".","."
"45500","Texarkana, TX-AR",".",".",".",".",".",".",".",".",".","22","9.4",".",".","."
"45780","Toledo, OH",".",".",".",".","0.08","0.071","10","2","0","21","8.5",".",".","0.01"
"45820","Topeka, KS",".",".",".",".","0.08","0.066",".",".",".",".",".",".",".","."
"45860","Torrington, CT","2.6","0.5",".",".","0.1","0.072","1","0","0","14","4.6",".",".","."
"45900","Traverse City, MI",".",".",".",".","0.08","0.065",".",".",".",".",".",".",".","."
"45940","Trenton, NJ",".",".",".",".","0.09","0.076",".",".",".","17","7.5",".",".","."
"45980","Troy, AL",".",".",".",".",".",".",".",".",".",".",".",".",".","0.14"
"46020","Truckee-Grass Valley, CA",".",".",".",".",".",".",".",".",".","11","4.1",".",".","."
"46060","Tucson, AZ","1.3","0.8","39","14","0.08","0.074","1","0","0","19","7.5","160","43","."
"46140","Tulsa, OK","1.3","0.7","30","6","0.12","0.071","4","1","0","21","8.7","94","24","."
"46180","Tupelo, MS",".",".",".",".","0.07","0.062",".",".",".",".",".",".",".","."
"46220","Tuscaloosa, AL",".",".",".",".","0.07","0.06",".",".",".","15","5.6",".",".","."
"46340","Tyler, TX",".",".","12","1","0.08","0.067",".",".",".",".",".",".",".","."
"46380","Ukiah, CA",".",".",".",".",".",".",".",".",".","18","7","42","13","."
"46520","Urban Honolulu, HI","0.7","0.4","20","3","0.05","0.045","6","2","2","9","4.4","34","15","."
"46700","Vallejo-Fairfield, CA","4.9","4.9",".",".","0.07","0.058",".",".",".",".",".","25","11","."
"46820","Vermillion, SD",".",".",".",".","0.07","0.059",".",".",".","16","6.5",".",".","."
"46860","Vernal, UT",".",".","23","3","0.08","0.07",".",".",".","15","5.1",".",".","."
"47020","Victoria, TX",".",".",".",".","0.08","0.069",".",".",".",".",".",".",".","."
"47180","Vincennes, IN",".",".",".",".","0.07","0.066",".",".",".",".",".",".",".","."
"47220","Vineland-Bridgeton, NJ",".",".","32","6","0.08","0.066",".",".",".","14","5.6",".",".","."
"47240","Vineyard Haven, MA",".",".",".",".","0.08","0.061",".",".",".",".",".",".",".","."
"47260","Virginia Beach-Norfolk-Newport News, VA-NC","0.7","0.6","40","7","0.07","0.061","6","2","1","18","6.9","35","14","."
"47300","Visalia-Porterville, CA",".",".",".","7","0.11","0.094",".",".",".","40","13","127","40","."
"47340","Wabash, IN",".",".",".",".","0.07","0.064",".",".",".",".",".",".",".","."
"47380","Waco, TX","0.7","0.6",".",".","0.09","0.071","5","2","0",".",".",".",".","."
"47460","Walla Walla, WA",".",".",".",".","0.07","0.065",".",".",".",".",".","94","21","."
"47580","Warner Robins, GA",".",".",".",".",".",".",".",".",".","24","8.6",".",".","."
"47620","Warren, PA",".",".",".",".",".",".","43","12","2",".",".",".",".","."
"47820","Washington, NC",".",".",".",".",".",".","11","3","0",".",".",".",".","."
"47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","1.7","1.3","47","16","0.09","0.071","3","2","1","17","7.3","37","14","."
"47940","Waterloo-Cedar Falls, IA",".",".",".",".","0.07","0.06",".",".",".","15","6.4",".",".","."
"47980","Watertown, SD",".",".",".",".","0.06","0.049",".",".",".","20","7.6","143","23","."
"48020","Watertown-Fort Atkinson, WI",".",".",".",".","0.07","0.066",".",".",".",".",".",".",".","."
"48060","Watertown-Fort Drum, NY",".",".",".",".","0.07","0.059",".",".",".",".",".",".",".","."
"48140","Wausau, WI",".",".",".",".","0.08","0.059",".",".",".","15","5.5",".",".","."
"48260","Weirton-Steubenville, WV-OH",".",".",".",".","0.08","0.066","41","10","2","16","7.9","44","17","."
"48540","Wheeling, WV-OH",".",".","26","4","0.07","0.062","6","2","1","17","7.7",".",".","."
"48580","Whitewater-Elkhorn, WI",".",".",".",".","0.08","0.066",".",".",".",".",".",".",".","."
"48620","Wichita, KS",".",".","18","5","0.09","0.07","2","1","0","20","8.3","113","29","."
"48700","Williamsport, PA",".",".",".",".","0.07","0.064",".",".",".","20","6.3",".",".","."
"48780","Williston, ND",".",".",".",".",".",".","11","6","1",".",".",".",".","."
"48900","Wilmington, NC",".",".",".",".","0.07","0.06",".",".",".","13","5","30","13","."
"48940","Wilmington, OH",".",".",".",".","0.08","0.071",".",".",".",".",".",".",".","."
"49020","Winchester, VA-WV",".",".",".",".","0.07","0.058",".",".",".","22","7.1",".",".","."
"49180","Winston-Salem, NC",".",".","32","6","0.08","0.066","2","1","0","19","8.1","41","15","."
"49340","Worcester, MA-CT","1.2","0.9","41","8","0.09","0.065","3","1","0","15","5.4","52","12","."
"49420","Yakima, WA",".",".",".",".",".",".",".",".",".","31","7.6","60","17","."
"49620","York-Hanover, PA",".",".","38","8","0.08","0.067","5","2","1","19","7.4",".",".","."
"49660","Youngstown-Warren-Boardman, OH-PA",".",".",".",".","0.07","0.068","4","2","1","17","7.8","45","16","."
"49700","Yuba City, CA",".",".","30","5","0.08","0.069",".",".",".","24","8.1","56","19","."
"49740","Yuma, AZ",".",".",".",".","0.08","0.068",".",".",".",".",".",".",".","."
